Serial Number,Name,UUID,Hash
56,nell-light -embrace,9dfe30b4-c71a-471c-8091-f5c4a238eed8,8a6a6562896044cff8fe47505d70f9cc24fa05ca20ef0e3a7780907498c0a824
57,rachel-mood-silent,11450acd-f0d7-406f-bc18-bdb680404845,f891199b9d848a2437b42ea91fd3ff805b3e3ca72d521917526eedbe25dd18c4
58,nana-reflector-agent,63bda633-bfca-4b28-823f-7772936b4103,9e1e9b92b205ad2c012b52472cb46b97826c60d2ac8f86d0d246df707748df58
59,bree-busy-gossip,4f5898d9-fc99-4053-a56c-b2ec1ef41347,27be001287f24a42ddfff3b666d08587831021dff739982711c59a8f41cfe493
60,jude-shadow-fighter,a47b2ed7-d4aa-4404-ac40-0ecea464cf3f,337ef1772a818b71c26e14ecb851a33bac65b906749f8c5bc351ebd96c7a9b2c
,,,
TEAM GRIT,,,
61,toy-soldier,fc8ea3ac-59d1-11ed-9b6a-0242ac120002,7ba6334e1883e3b8a292b48d162e6a8c53a0b16b0a5574e88118513b1d33ae89
62,pipey-rivers,58f69cae-59d1-11ed-9b6a-0242ac120002,905f473bb6e5a3623617982476b31112b302bd21cc97f39a61582a43002e1eb6
63,phiri-of-zambia,24b537fa-59d3-11ed-9b6a-0242ac120002,a2066da4a39287a2a3a6407d26801f39518f9223c291d9f7e30a3f4f240dc67d
64,patrick-of-bikinibottom,064c7b84-59d3-11ed-9b6a-0242ac120002,67007eeebc05ee10ab41bd423218a25c313edf42f19da34aed24d5820473877e
65,nobuhle-of-zulu,1ee5b1ce-59d3-11ed-9b6a-0242ac120002,6093701845e33fc776c68b9085f44f3228def631339c719deb6858b3d3033833
66,nkosazana-of-xhosa,2f1a1724-59d3-11ed-9b6a-0242ac120002,0a60a9bbde8b9143b5ca6b4dcf187ed560656dfe4d7f774f0597ec3c2f4b718f
67,mandla-of-zulu,d04553b2-59d7-11ed-9b6a-0242ac120002,ca8d54b65346244dd6a83a39ed4f88ffb22e4f58da3c5ca08ea15f4a44cb5267
68,john-doe,5d19795e-59d2-11ed-9b6a-0242ac120002,7d75904c81f18118e195695c55bf231f27a62fabf01d3da11004783727a2f84c
69,ghost-of-power,29c764ca-59d3-11ed-9b6a-0242ac120002,b7563557be456cb883b6232236fa5723bd69d7ba7d3e2b8ed5b75e567e5507ee
70,freida,ee671c4a-59d2-11ed-9b6a-0242ac120002,95655bc8da1ab54dfb2439c420d631177e787bf2358bbc825408c5d9230f9a64
71,flamboyant-tree,380e4990-59d3-11ed-9b6a-0242ac120002,46396fb6aa84f0f58452182389b88e755c473e1c8c9c78f890a3c30173b1af7f
72,david-of-accra,1c1ef1b4-59d1-11ed-9b6a-0242ac120002,9f2c0fb4b68d46779946db7645bdce237dfcb3cd39d2f0acd120bb8b4bf51bec
73,cally-lily,82bba87c-59d1-11ed-9b6a-0242ac120002,8d1ecb28b057e5450703ee4351cae2652202ea0201cd11a98fd01d4ad29dd3c3
74,bubune-of-accra,faa4b530-59d2-11ed-9b6a-0242ac120002,cdbf99874da69f613468cbdb312b8dc7302edabc78bcb7282fa11136377aa279
75,bediako-of-accra,fb6e8222-59d0-11ed-9b6a-0242ac120002,47084ea4b9ce7f8150a366d0d675b07eda22012aed02f4104854db100b9c0d4c
76,avatar-aang,169f93a0-59d2-11ed-9b6a-0242ac120002,238eaf436b29bf276f8674209c101c5283c7f77e6a98840987a5e1ea9c27778f
77,argus-greek,e7f26b26-59d2-11ed-9b6a-0242ac120002,a291506a3e63b397e472c242f0dd53a52bc30525ca2a5f0ac251fb4cf80fb266
78,amahle-of-zulu,169f93a0-59d2-11ed-9b6a-0242ac120002,9c9d0b95cbf62b119e4a51af89cbe6a6f8650330179d346a0292fe1b21623d95
79,agnar-ole,f3f11fd0-59d2-11ed-9b6a-0242ac120002,0f247da2ddcc37745f47071fbaec1b8649ad3e26ddda15e2d8d9667d60a88f00
80,adom-kulu,00f6589e-59d3-11ed-9b6a-0242ac120002,6bd453372f5c0121468f006de7be8409aa1c379d5d7b5568f3175b975846a602
,,,
TEAM PRYBAR,,,
81,segun-baller,58ac5cf6-b644-41c6-af79-ec9aa5f6bdd1,a968c21fc07a6f34f7f0ed02bf4a1101399edb519b5f3ff0025c18b3b0680859
82,bolanle-pepper-dem,46966104-775b-4443-90bb-b35afd121653,6257c27cbfc0bb3b8f3d5f91a3235c1f8d9f9799af753ed77e2fccd947962724
83,tayo-tailor,70828783-ac38-48cf-b966-cfebc92ebd86,8a2759f7a3754eee2813b802ab3de999c976cd2b1d336c8fd60cf31278852514
84,ajasco-comedian,8bebdb3a-f0a8-47ba-892f-39aa275fbd0d,0237dfc520a940c3df148cb8c2322cd6cc4d36e78c08c6e647bd8eef30107ffe
85,tobi-babyboy,3da592d4-5dec-4bc5-8412-f1b2a0269f95,e7fc689541ddfbc886875835e0a2bec99c4a0651be422039433bfa9c65e6f7f7
86,esther-sassy,0642a25a-966d-446f-b021-a6d18e7fa0c5,d74e204e32ef2786d7cc85f2b00570b52461ec74ce6e06b832c2fb6e4c22a5f4
87,ozo-fineboi,fdb0a5b6-7367-48bb-bd6b-720ec8c15226,1cd23f90a04de8543b3d96e73cce54a6c20b4287f62e1b013f9079970dd3d654
88,ade-party-girl,7e3db30c-9faf-430d-ab48-b854fe0456b9,d6bdc0a92b8987997cb3307d59952a3f19e11e53bcb260546a10776d99d8fdb3
89,john-casco,2eff88ef-5bc2-4779-917a-533e952e2953,ef570fcb9be0b62d69994ff1c88b8bace1dde12c4ecba721d94de3fffb8619bc
90,agha-uwa,8478a002-1eba-4a05-8b98-7170c6e39254,e750a4433c9d9fa23397c6f159709d136744cfa88ab2b7a17061985c4beabeac
